"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"237","048550","SM C&C",4935,-105,-2.08,NA,NA,NA,NA,1049,4.7,0,0
"238","063440","SM Life Design",3035,-60,-1.94,40,75.88,NA,NA,1068,2.84,0,0
"239","064960","SNT모티브",48500,0,0,5787,8.38,6625,7.32,61655,0.79,1600,3.3
"240","100840","SNT에너지",20250,-500,-2.41,1957,10.35,NA,NA,37171,0.54,800,3.95
"241","003570","SNT중공업",9690,-60,-0.62,2666,3.63,1063,9.12,29158,0.33,400,4.13
"242","036530","SNT홀딩스",16040,-200,-1.23,5329,3.01,NA,NA,65710,0.24,700,4.36
"243","005610","SPC삼립",70500,-1200,-1.67,4990,14.13,7747,9.1,41335,1.71,1500,2.13
"244","011810","STX",4850,-75,-1.52,NA,NA,NA,NA,2337,2.08,0,0
"245","077970","STX엔진",13760,240,1.78,2,6880,NA,NA,10271,1.34,0,0
"246","071970","STX중공업",6260,70,1.13,NA,NA,NA,NA,5428,1.15,0,0
"247","002820","SUN&L",3250,0,0,NA,NA,NA,NA,14375,0.23,80,2.46
"248","289080","SV인베스트먼트",2475,10,0.41,201,12.31,NA,NA,1297,1.91,60,2.42
"249","084870","TBH글로벌",1788,-18,-1,NA,NA,NA,NA,2622,0.68,0,0
"250","002710","TCC스틸",11870,-200,-1.66,1242,9.56,NA,NA,6507,1.82,150,1.26
"251","089230","THE E&M",323,-17,-5,NA,NA,NA,NA,494,0.65,0,0
"252","161570","THE MIDONG",1180,-25,-2.07,NA,NA,NA,NA,1194,0.99,0,0
"253","032540","TJ미디어",6500,-150,-2.26,230,28.26,NA,NA,5781,1.12,60,0.92
"254","022220","TKG애강",1441,-13,-0.89,88,16.38,NA,NA,1740,0.83,0,0
"255","069260","TKG휴켐스",19610,-20,-0.1,1972,9.94,2415,8.12,18226,1.08,1000,5.1
"256","048770","TPC",3700,-5,-0.13,139,26.62,NA,NA,2590,1.43,35,0.95
"257","246690","TS인베스트먼트",1995,11,0.55,258,7.73,NA,NA,1593,1.25,10,0.5
"258","317240","TS트릴리온",611,-17,-2.71,NA,NA,NA,NA,167,3.66,0,0
"259","002900","TYM",2860,95,3.44,195,14.67,753,3.8,1714,1.67,20,0.7
"260","024070","WISCOM",2770,-30,-1.07,79,35.06,NA,NA,7839,0.35,50,1.81
"261","057030","YBM넷",4950,60,1.23,158,31.33,NA,NA,2651,1.87,100,2.02
"262","037270","YG PLUS",5290,0,0,348,15.2,NA,NA,2125,2.49,0,0
"263","040300","YTN",7500,100,1.35,1228,6.11,NA,NA,5759,1.3,50,0.67
"264","051390","YW",3560,-65,-1.79,308,11.56,NA,NA,8638,0.41,100,2.81
"265","052220","iMBC",4025,120,3.07,48,83.85,NA,NA,2403,1.67,0,0
"266","079940","가비아",12900,-350,-2.64,898,14.37,NA,NA,7620,1.69,70,0.54
"267","078890","가온미디어",8280,-290,-3.38,1353,6.12,NA,NA,11534,0.72,100,1.21
